Fp1 Fz F3 F7 FT9 FC5 FC1 C3 T7 TP9 CP5 CP1 Pz P3 P7 O1 Oz O2 P4 P8 TP10 CP6 CP2 Cz C4 T8 FT10 FC6 FC2 F4 F8 Fp2 HEOG
2.970684363390319e-05 2.3167343897512183e-05 2.5477898816461675e-05 2.7447207685327157e-05 4.850028744840529e-06 2.2743861336493865e-05 1.9652694390970282e-05 2.0771183699253015e-05 1.579008312546648e-05 1.819043973227963e-05 1.796288779587485e-05 2.256088009744417e-05 2.3029255316942e-05 1.9736235117306933e-05 1.653232357057277e-05 2.59844891843386e-05 2.6811134375748225e-05 4.667299799621105e-05 2.7352214601705782e-05 3.710828605107963e-05 2.1257965272525325e-05 2.715797927521635e-05 2.2265043298830278e-05 1.8864207959268242e-05 3.0003524443600327e-05 2.98265294986777e-05 2.0597797629307024e-05 3.6163812183076516e-05 2.5071072741411626e-05 2.446617145324126e-05 2.6069474188261665e-05 1.2977084224985447e-05 0.0004536353808362037
2.9647964765899815e-05 2.2804169930168428e-05 2.5140427169390023e-05 2.7272672014078125e-05 4.736585196951637e-06 2.3037568098516203e-05 1.9200419046683237e-05 2.0453724573599175e-05 1.569347659824416e-05 1.692114892648533e-05 1.749476359691471e-05 2.213661718997173e-05 2.3103015337255783e-05 1.9226708900532685e-05 1.5511261153733358e-05 2.59251373790903e-05 2.714516631385777e-05 4.996966526960023e-05 2.7554422558750957e-05 3.7453504774020985e-05 2.0934605345246382e-05 2.7214899091632105e-05 2.2126620024209842e-05 1.8411143173580058e-05 3.009869033121504e-05 3.0358998628798872e-05 2.0434406906133518e-05 3.694460974656977e-05 2.4942197342170402e-05 2.4958737412816845e-05 2.730300184339285e-05 1.3126055819157045e-05 0.0004441731725819409
2.9551199986599386e-05 2.2487602109322324e-05 2.4893202862585895e-05 2.712798595894128e-05 4.625288966053631e-06 2.3320209947996773e-05 1.880445415736176e-05 2.0181603758828714e-05 1.5484127288800664e-05 1.551864443172235e-05 1.702641020528972e-05 2.1714953618356958e-05 2.3070504539646208e-05 1.8640808775671758e-05 1.4364433809532784e-05 2.5654038836364634e-05 2.7241185307502747e-05 5.238864468992688e-05 2.750978273979854e-05 3.7528621760429814e-05 2.0291128748795018e-05 2.7014095394406468e-05 2.186181336583104e-05 1.7967749954550527e-05 3.0020375561434776e-05 3.059176015085541e-05 1.9955923562520184e-05 3.745774301933125e-05 2.476633744663559e-05 2.5330033167847432e-05 2.8436545107979327e-05 1.3236071026767604e-05 0.00039379429654218256
2.9441112928907387e-05 2.2253367205848917e-05 2.475634937582072e-05 2.6984285796061158e-05 4.517481102084275e-06 2.356959885219112e-05 1.8503309547668323e-05 1.9978002455900423e-05 1.5158846508711576e-05 1.408738080499461e-05 1.6596755813225172e-05 2.132621011696756e-05 2.2936646928428672e-05 1.801840880943928e-05 1.3164191841497086e-05 2.5187306164298207e-05 2.7091467927675694e-05 5.3765190386911854e-05 2.7220645279157907e-05 3.731163087650202e-05 1.934575084305834e-05 2.6565992811811157e-05 2.1486046534846537e-05 1.756238089001272e-05 2.97639962809626e-05 3.0493634767481126e-05 1.9171331587131135e-05 3.7667883589165285e-05 2.45640712819295e-05 2.5576853659003973e-05 2.937678073067218e-05 1.3299821148393676e-05 0.00030255966703407466
2.933583346020896e-05 2.2132304366095923e-05 2.4741133529460058e-05 2.6800766136148013e-05 4.406615062180208e-06 2.3761438569636084e-05 1.8329699742025696e-05 1.9858835003105924e-05 1.4711062249261886e-05 1.2727670764434151e-05 1.6235837392741814e-05 2.0997207684558816e-05 2.2708263713866472e-05 1.7396532712155022e-05 1.1980944691458717e-05 2.4545679480070248e-05 2.669561763468664e-05 5.3977666539140046e-05 2.669651439646259e-05 3.678979555843398e-05 1.812913797039073e-05 2.5888535674312152e-05 2.101742211380042e-05 1.7220510926563293e-05 2.9331182304304093e-05 3.005027429026086e-05 1.810519097489305e-05 3.755299258045852e-05 2.4354829292860813e-05 2.570000651758164e-05 3.003333040396683e-05 1.3309764653968159e-05 0.0001738624123390764
2.9249520594021305e-05 2.2154647012939677e-05 2.485670665919315e-05 2.6539459213381633e-05 4.285431714379229e-06 2.387911627010908e-05 1.831536974350456e-05 1.984009395528119e-05 1.4140287930786144e-05 1.1537300451891497e-05 1.5971570974215865e-05 2.0757144739036448e-05 2.2400805391953327e-05 1.681461617408786e-05 1.0886770724027883e-05 2.3761760530760512e-05 2.6069248633575626e-05 5.29658209416084e-05 2.5961488063330762e-05 3.5969223972642794e-05 1.6691265045665205e-05 2.501379458408337e-05 2.0484007109189406e-05 1.6971338482107967e-05 2.873774428735487e-05 2.927537752839271e-05 1.6804882761789486e-05 3.7113095459062606e-05 2.416331881249789e-05 2.5710718546179123e-05 3.0332566893775947e-05 1.3264500921650324e-05 1.4587663827114739e-05
2.918789687100798e-05 2.2342574084177613e-05 2.5105560780502856e-05 2.616714482428506e-05 4.143486876273528e-06 2.391138332313858e-05 1.848415740823839e-05 1.993179103010334e-05 1.3451433915179223e-05 1.059959231497487e-05 1.582253389642574e-05 2.0628916900022887e-05 2.2033154891687445e-05 1.6306390534737147e-05 9.94523179542739e-06 2.287181450810749e-05 2.5237588488380425e-05 5.073362626717426e-05 2.504815347492695e-05 3.487083449726924e-05 1.509389858256327e-05 2.3980681362445466e-05 1.991651879507117e-05 1.6839032468851656e-05 2.800678885250818e-05 2.820349072862882e-05 1.5332170733017847e-05 3.636445035226643e-05 2.401273923169356e-05 2.5623961846577004e-05 3.0216928280424327e-05 1.3162621144147124e-05 -0.0001658528344705701
2.9145336156943813e-05 2.2706668460159563e-05 2.5481002012384124e-05 2.5654870114522055e-05 3.969795670855092e-06 2.385166044405196e-05 1.8847471437766217e-05 2.0134515580139123e-05 1.2654653801291715e-05 9.977167792385444e-06 1.5795687431818806e-05 2.0626859623007476e-05 2.162433520425111e-05 1.5896201148279943e-05 9.20587444852572e-06 2.191085513914004e-05 2.423133992124349e-05 4.734385584015399e-05 2.3994116418180056e-05 3.352635394548997e-05 1.3406660400505643e-05 2.2832839022157714e-05 1.9344290194567293e-05 1.684001472312957e-05 2.7166774088982493e-05 2.6884601538768038e-05 1.3758449313172605e-05 3.533708513714373e-05 2.3919948944239877e-05 2.5454706701566465e-05 2.9648592317244038e-05 1.3003321328142192e-05 -0.00035617881803773344
2.910741386585869e-05 2.324608612980228e-05 2.5968929548980668e-05 2.498555477359332e-05 3.7512068047362845e-06 2.3699683879385702e-05 1.940438050951343e-05 2.044065149675589e-05 1.1765789167839102e-05 9.70462406257866e-06 1.5886344044702128e-05 2.07555294764461e-05 2.1192927306401543e-05 1.5597524907207116e-05 8.70187705004355e-06 2.0912370018777438e-05 2.308582770638168e-05 4.291698132874444e-05 2.2840262317913584e-05 3.1976473110262305e-05 1.170045379694784e-05 2.1614616343867965e-05 1.8794473362504505e-05 1.698191226751078e-05 2.6250456357956864e-05 2.5380861188750714e-05 1.2157942364865448e-05 3.407492476981133e-05 2.3896049242466688e-05 2.5218683731509373e-05 2.8619551812880673e-05 1.2788070307578892e-05 -0.000544241105671972
2.9055245249764994e-05 2.395036608504597e-05 2.6553265342954546e-05 2.41627585637616e-05 3.4803233575075865e-06 2.346602013858501e-05 2.014471829170361e-05 2.083851541101467e-05 1.0814868801389821e-05 9.791892807697877e-06 1.6083889931906015e-05 2.1013831428717822e-05 2.0760673578479327e-05 1.541732308396604e-05 8.452616384602152e-06 1.9912269635824487e-05 2.1846173694939353e-05 3.7636262277374044e-05 2.163366116292309e-05 3.0275725293904543e-05 1.004857404041104e-05 2.037379272223916e-05 1.829476786952e-05 1.7266973372898065e-05 2.5296809326391667e-05 2.3766519007040188e-05 1.0608650882204529e-05 3.26361769111827e-05 2.3949209207785316e-05 2.4934442990343086e-05 2.715356276894454e-05 1.2522134056780487e-05 -0.0007181025575846434
2.8968728656764142e-05 2.4800439859973267e-05 2.7216248781769536e-05 2.321182364539709e-05 3.1593535823049024e-06 2.317131838935893e-05 2.104870873154141e-05 2.1313402612577192e-05 9.846698048932012e-06 1.0226774975308217e-05 1.6373312973883003e-05 2.1393871065811254e-05 2.0350511476863176e-05 1.5355873983935453e-05 8.463950507575646e-06 1.8944851035485044e-05 2.0562280042213388e-05 3.173162622260861e-05 2.0424504327820614e-05 2.8488964744610712e-05 8.52296216180548e-06 1.9159962903358974e-05 1.7871123418444768e-05 1.769087066350039e-05 2.4348450097022578e-05 2.2122358132037334e-05 9.187214345729444e-06 3.1090508855413646e-05 2.4083166863420047e-05 2.4622057026135735e-05 2.530661913624499e-05 1.2216500181239098e-05 -0.0008668575901538134
