Report for Dataset: chlorine
Generated on: 2025-03-11 20:47:32
========================================================================================================================

RMSE: Root Mean Square Error - Measures the average magnitude of error.

+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|     Dataset     |    Algorithm    |    Optimizer    |     Pattern     |   X Value    |           RMSE            |
+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|    chlorine     |      mcar       |   MeanImpute    |    bayesian     |     0.2      |       0.8459202803        |
|    chlorine     |      mcar       |   MeanImpute    |    bayesian     |     0.4      |       0.8713050089        |
|    chlorine     |      mcar       |   MeanImpute    |    bayesian     |     0.6      |       0.8904846241        |
|    chlorine     |      mcar       |      CDRec      |    bayesian     |     0.2      |       0.2441316214        |
|    chlorine     |      mcar       |      CDRec      |    bayesian     |     0.4      |       0.3496511469        |
|    chlorine     |      mcar       |      CDRec      |    bayesian     |     0.6      |       0.4783106167        |
|    chlorine     |      mcar       |      STMVL      |    bayesian     |     0.2      |       0.3616215093        |
|    chlorine     |      mcar       |      STMVL      |    bayesian     |     0.4      |       0.3830491214        |
|    chlorine     |      mcar       |      STMVL      |    bayesian     |     0.6      |       0.5527602175        |
|    chlorine     |      mcar       |       IIM       |    bayesian     |     0.2      |       0.4484121822        |
|    chlorine     |      mcar       |       IIM       |    bayesian     |     0.4      |       0.5186967848        |
|    chlorine     |      mcar       |       IIM       |    bayesian     |     0.6      |       0.6459326532        |
|    chlorine     |      mcar       |      MRNN       |    bayesian     |     0.2      |       1.2533603443        |
|    chlorine     |      mcar       |      MRNN       |    bayesian     |     0.4      |       1.5401148043        |
|    chlorine     |      mcar       |      MRNN       |    bayesian     |     0.6      |       1.2746145213        |
|    chlorine     |       mp        |   MeanImpute    |    bayesian     |     0.2      |       0.7533652619        |
|    chlorine     |       mp        |   MeanImpute    |    bayesian     |     0.4      |       0.9032940412        |
|    chlorine     |       mp        |   MeanImpute    |    bayesian     |     0.6      |       0.8814462728        |
|    chlorine     |       mp        |      CDRec      |    bayesian     |     0.2      |       0.5196914020        |
|    chlorine     |       mp        |      CDRec      |    bayesian     |     0.4      |       0.9643276009        |
|    chlorine     |       mp        |      CDRec      |    bayesian     |     0.6      |       0.7819078943        |
|    chlorine     |       mp        |      STMVL      |    bayesian     |     0.2      |       0.5113939462        |
|    chlorine     |       mp        |      STMVL      |    bayesian     |     0.4      |       1.1054992249        |
|    chlorine     |       mp        |      STMVL      |    bayesian     |     0.6      |       1.4015712509        |
|    chlorine     |       mp        |       IIM       |    bayesian     |     0.2      |       0.4861633740        |
|    chlorine     |       mp        |       IIM       |    bayesian     |     0.4      |       0.6236323168        |
|    chlorine     |       mp        |       IIM       |    bayesian     |     0.6      |       0.8195607228        |
|    chlorine     |       mp        |      MRNN       |    bayesian     |     0.2      |       1.4603172784        |
|    chlorine     |       mp        |      MRNN       |    bayesian     |     0.4      |       1.5193895473        |
|    chlorine     |       mp        |      MRNN       |    bayesian     |     0.6      |       1.6181818188        |
+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+

MAE: Mean Absolute Error - Measures the average absolute error.

+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|     Dataset     |    Algorithm    |    Optimizer    |     Pattern     |   X Value    |            MAE            |
+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
