Report for Dataset: eegreading
Generated on: 2025-03-11 20:47:35
========================================================================================================================

RMSE: Root Mean Square Error - Measures the average magnitude of error.

+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|     Dataset     |    Algorithm    |    Optimizer    |     Pattern     |   X Value    |           RMSE            |
+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|   eegreading    |      mcar       |   MeanImpute    |    bayesian     |     0.2      |       1.0283241781        |
|   eegreading    |      mcar       |   MeanImpute    |    bayesian     |     0.4      |       1.0496896843        |
|   eegreading    |      mcar       |   MeanImpute    |    bayesian     |     0.6      |       1.0322578378        |
|   eegreading    |      mcar       |      CDRec      |    bayesian     |     0.2      |       0.6212211192        |
|   eegreading    |      mcar       |      CDRec      |    bayesian     |     0.4      |       0.6041990370        |
|   eegreading    |      mcar       |      CDRec      |    bayesian     |     0.6      |       0.6524083381        |
|   eegreading    |      mcar       |      STMVL      |    bayesian     |     0.2      |       0.4500453892        |
|   eegreading    |      mcar       |      STMVL      |    bayesian     |     0.4      |       0.5138628109        |
|   eegreading    |      mcar       |      STMVL      |    bayesian     |     0.6      |       0.6106608924        |
|   eegreading    |      mcar       |       IIM       |    bayesian     |     0.2      |       0.6920437086        |
|   eegreading    |      mcar       |       IIM       |    bayesian     |     0.4      |       0.7995654207        |
|   eegreading    |      mcar       |       IIM       |    bayesian     |     0.6      |       0.7643447489        |
|   eegreading    |      mcar       |      MRNN       |    bayesian     |     0.2      |       1.6267071358        |
|   eegreading    |      mcar       |      MRNN       |    bayesian     |     0.4      |       1.3377112268        |
|   eegreading    |      mcar       |      MRNN       |    bayesian     |     0.6      |       1.5449508092        |
|   eegreading    |       mp        |   MeanImpute    |    bayesian     |     0.2      |       0.8998962693        |
|   eegreading    |       mp        |   MeanImpute    |    bayesian     |     0.4      |       1.0218100972        |
|   eegreading    |       mp        |   MeanImpute    |    bayesian     |     0.6      |       1.0168252602        |
|   eegreading    |       mp        |      CDRec      |    bayesian     |     0.2      |       0.6582382360        |
|   eegreading    |       mp        |      CDRec      |    bayesian     |     0.4      |       0.6902851284        |
|   eegreading    |       mp        |      CDRec      |    bayesian     |     0.6      |       0.7864896453        |
|   eegreading    |       mp        |      STMVL      |    bayesian     |     0.2      |       0.7075606117        |
|   eegreading    |       mp        |      STMVL      |    bayesian     |     0.4      |       0.8711837401        |
|   eegreading    |       mp        |      STMVL      |    bayesian     |     0.6      |       0.9230437611        |
|   eegreading    |       mp        |       IIM       |    bayesian     |     0.2      |       0.6721720261        |
|   eegreading    |       mp        |       IIM       |    bayesian     |     0.4      |       0.7363190055        |
|   eegreading    |       mp        |       IIM       |    bayesian     |     0.6      |       0.8691493827        |
|   eegreading    |       mp        |      MRNN       |    bayesian     |     0.2      |       0.9053145123        |
|   eegreading    |       mp        |      MRNN       |    bayesian     |     0.4      |       1.1683365631        |
|   eegreading    |       mp        |      MRNN       |    bayesian     |     0.6      |       1.1326088316        |
+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+

MAE: Mean Absolute Error - Measures the average absolute error.

+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|     Dataset     |    Algorithm    |    Optimizer    |     Pattern     |   X Value    |            MAE            |
+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|   eegreading    |      mcar       |   MeanImpute    |    bayesian     |     0.2      |       0.8134578514        |
|   eegreading    |      mcar       |   MeanImpute    |    bayesian     |     0.4      |       0.8290140528        |
|   eegreading    |      mcar       |   MeanImpute    |    bayesian     |     0.6      |       0.8214019608        |
|   eegreading    |      mcar       |      CDRec      |    bayesian     |     0.2      |       0.4468716225        |
|   eegreading    |      mcar       |      CDRec      |    bayesian     |     0.4      |       0.4202035358        |
|   eegreading    |      mcar       |      CDRec      |    bayesian     |     0.6      |       0.4575542805        |
|   eegreading    |      mcar       |      STMVL      |    bayesian     |     0.2      |       0.3162021207        |
|   eegreading    |      mcar       |      STMVL      |    bayesian     |     0.4      |       0.3612183092        |
|   eegreading    |      mcar       |      STMVL      |    bayesian     |     0.6      |       0.4393053499        |
|   eegreading    |      mcar       |       IIM       |    bayesian     |     0.2      |       0.5442183014        |
|   eegreading    |      mcar       |       IIM       |    bayesian     |     0.4      |       0.6033677832        |
|   eegreading    |      mcar       |       IIM       |    bayesian     |     0.6      |       0.5767939602        |
|   eegreading    |      mcar       |      MRNN       |    bayesian     |     0.2      |       1.3229105546        |
|   eegreading    |      mcar       |      MRNN       |    bayesian     |     0.4      |       1.0522824396        |
|   eegreading    |      mcar       |      MRNN       |    bayesian     |     0.6      |       1.2529993144        |
|   eegreading    |       mp        |   MeanImpute    |    bayesian     |     0.2      |       0.6789934871        |
