Report for Dataset: fmri-objectviewing
Generated on: 2025-02-06 01:39:54
Run number: 0
========================================================================================================================

RMSE: Root Mean Square Error - Measures the average magnitude of error.

+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|     Dataset     |    Algorithm    |    Optimizer    |     Pattern     |   X Value    |           RMSE            |
+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
| fmriobjectviewing |      mcar       |      mean       |    bayesian     |     0.05     |       1.0389734218        |
| fmriobjectviewing |      mcar       |      mean       |    bayesian     |     0.1      |       1.0395996912        |
| fmriobjectviewing |      mcar       |      mean       |    bayesian     |     0.2      |       1.0062387657        |
| fmriobjectviewing |      mcar       |      mean       |    bayesian     |     0.4      |       0.9883754344        |
| fmriobjectviewing |      mcar       |      mean       |    bayesian     |     0.6      |       0.9870976606        |
| fmriobjectviewing |      mcar       |      mean       |    bayesian     |     0.7      |       0.9842983743        |
| fmriobjectviewing |      mcar       |      cdrec      |    bayesian     |     0.05     |       0.8602668323        |
| fmriobjectviewing |      mcar       |      cdrec      |    bayesian     |     0.1      |       0.9097415028        |
| fmriobjectviewing |      mcar       |      cdrec      |    bayesian     |     0.2      |       0.9095657225        |
| fmriobjectviewing |      mcar       |      cdrec      |    bayesian     |     0.4      |       0.8873561645        |
| fmriobjectviewing |      mcar       |      cdrec      |    bayesian     |     0.6      |       0.8899209349        |
| fmriobjectviewing |      mcar       |      cdrec      |    bayesian     |     0.7      |       0.9086345400        |
| fmriobjectviewing |      mcar       |      stmvl      |    bayesian     |     0.05     |       0.8717933443        |
| fmriobjectviewing |      mcar       |      stmvl      |    bayesian     |     0.1      |       0.8625085003        |
| fmriobjectviewing |      mcar       |      stmvl      |    bayesian     |     0.2      |       0.8974016982        |
| fmriobjectviewing |      mcar       |      stmvl      |    bayesian     |     0.4      |       0.9058118302        |
| fmriobjectviewing |      mcar       |      stmvl      |    bayesian     |     0.6      |       0.9926298064        |
| fmriobjectviewing |      mcar       |      stmvl      |    bayesian     |     0.7      |       1.0296646162        |
| fmriobjectviewing |      mcar       |       iim       |    bayesian     |     0.05     |       0.6263705795        |
| fmriobjectviewing |      mcar       |       iim       |    bayesian     |     0.1      |       0.6899987721        |
| fmriobjectviewing |      mcar       |       iim       |    bayesian     |     0.2      |       0.7621016038        |
| fmriobjectviewing |      mcar       |       iim       |    bayesian     |     0.4      |       0.7902203838        |
