Report for Dataset: chlorine
Generated on: 2025-02-06 12:45:37
Run number: 0
========================================================================================================================

RMSE: Root Mean Square Error - Measures the average magnitude of error.

+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|     Dataset     |    Algorithm    |    Optimizer    |     Pattern     |   X Value    |           RMSE            |
+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|    chlorine     |      mcar       |      mean       |    bayesian     |     0.05     |       0.9256738243        |
|    chlorine     |      mcar       |      mean       |    bayesian     |     0.1      |       0.8239629739        |
|    chlorine     |      mcar       |      mean       |    bayesian     |     0.2      |       0.8317409761        |
|    chlorine     |      mcar       |      mean       |    bayesian     |     0.4      |       0.8661785428        |
|    chlorine     |      mcar       |      mean       |    bayesian     |     0.6      |       0.8906205974        |
|    chlorine     |      mcar       |      mean       |    bayesian     |     0.7      |       0.8981377246        |
|    chlorine     |      mcar       |      cdrec      |    bayesian     |     0.05     |       0.1748017831        |
|    chlorine     |      mcar       |      cdrec      |    bayesian     |     0.1      |       0.2250631504        |
|    chlorine     |      mcar       |      cdrec      |    bayesian     |     0.2      |       0.2490979794        |
|    chlorine     |      mcar       |      cdrec      |    bayesian     |     0.4      |       0.3479270922        |
|    chlorine     |      mcar       |      cdrec      |    bayesian     |     0.6      |       0.3762263390        |
|    chlorine     |      mcar       |      cdrec      |    bayesian     |     0.7      |       0.7127906140        |
|    chlorine     |      mcar       |      stmvl      |    bayesian     |     0.05     |       0.3235933628        |
|    chlorine     |      mcar       |      stmvl      |    bayesian     |     0.1      |       0.2918035147        |
|    chlorine     |      mcar       |      stmvl      |    bayesian     |     0.2      |       0.3544460311        |
|    chlorine     |      mcar       |      stmvl      |    bayesian     |     0.4      |       0.3776897457        |
|    chlorine     |      mcar       |      stmvl      |    bayesian     |     0.6      |       0.5064466519        |
|    chlorine     |      mcar       |      stmvl      |    bayesian     |     0.7      |       0.9632689494        |
|    chlorine     |      mcar       |       iim       |    bayesian     |     0.05     |       0.1921538093        |
|    chlorine     |      mcar       |       iim       |    bayesian     |     0.1      |       0.3367438360        |
|    chlorine     |      mcar       |       iim       |    bayesian     |     0.2      |       0.4553523932        |
|    chlorine     |      mcar       |       iim       |    bayesian     |     0.4      |       0.5202607725        |
|    chlorine     |      mcar       |       iim       |    bayesian     |     0.6      |       0.6492646015        |
|    chlorine     |      mcar       |       iim       |    bayesian     |     0.7      |       0.7323802898        |
|    chlorine     |      mcar       |      mrnn       |    bayesian     |     0.05     |       0.7933141230        |
|    chlorine     |      mcar       |      mrnn       |    bayesian     |     0.1      |       1.5017211788        |
|    chlorine     |      mcar       |      mrnn       |    bayesian     |     0.2      |       1.3003591825        |
|    chlorine     |      mcar       |      mrnn       |    bayesian     |     0.4      |       1.3543310118        |
|    chlorine     |      mcar       |      mrnn       |    bayesian     |     0.6      |       1.2840670420        |
|    chlorine     |      mcar       |      mrnn       |    bayesian     |     0.7      |       1.2489540399        |
|    chlorine     |      mcar       |    iter_svd     |    bayesian     |     0.05     |       0.9256738243        |
|    chlorine     |      mcar       |    iter_svd     |    bayesian     |     0.1      |       0.8239629739        |
|    chlorine     |      mcar       |    iter_svd     |    bayesian     |     0.2      |       0.8317409761        |
|    chlorine     |      mcar       |    iter_svd     |    bayesian     |     0.4      |       0.8661785428        |
|    chlorine     |      mcar       |    iter_svd     |    bayesian     |     0.6      |       0.8906205974        |
|    chlorine     |      mcar       |    iter_svd     |    bayesian     |     0.7      |       0.8981377246        |
|    chlorine     |      mcar       |     grouse      |    bayesian     |     0.05     |       0.2633790416        |
|    chlorine     |      mcar       |     grouse      |    bayesian     |     0.1      |       0.4216597253        |
|    chlorine     |      mcar       |     grouse      |    bayesian     |     0.2      |       0.5302303520        |
|    chlorine     |      mcar       |     grouse      |    bayesian     |     0.4      |       0.5414022053        |
|    chlorine     |      mcar       |     grouse      |    bayesian     |     0.6      |       0.5631126814        |
|    chlorine     |      mcar       |     grouse      |    bayesian     |     0.7      |       0.5807767218        |
|    chlorine     |      mcar       |     dynammo     |    bayesian     |     0.05     |       0.2410078791        |
|    chlorine     |      mcar       |     dynammo     |    bayesian     |     0.1      |       0.3382405721        |
