Report for Dataset: drift
Generated on: 2025-01-30 13:36:51
Run number: 0
========================================================================================================================

RMSE: Root Mean Square Error - Measures the average magnitude of error.

+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|     Dataset     |    Algorithm    |    Optimizer    |     Pattern     |   X Value    |           RMSE            |
+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|      drift      |      mcar       |      mean       |    bayesian     |     0.05     |       0.9234927128        |
|      drift      |      mcar       |      mean       |    bayesian     |     0.1      |       0.9699990039        |
|      drift      |      mcar       |      mean       |    bayesian     |     0.2      |       0.9914069854        |
|      drift      |      mcar       |      mean       |    bayesian     |     0.4      |       1.0552448338        |
|      drift      |      mcar       |      mean       |    bayesian     |     0.6      |       1.0143105930        |
|      drift      |      mcar       |      mean       |    bayesian     |     0.7      |       1.0126164671        |
|      drift      |      mcar       |      cdrec      |    bayesian     |     0.05     |       0.2330136919        |
|      drift      |      mcar       |      cdrec      |    bayesian     |     0.1      |       0.1814632897        |
|      drift      |      mcar       |      cdrec      |    bayesian     |     0.2      |       0.1389284679        |
|      drift      |      mcar       |      cdrec      |    bayesian     |     0.4      |       0.5806500770        |
|      drift      |      mcar       |      cdrec      |    bayesian     |     0.6      |       0.4454417583        |
|      drift      |      mcar       |      cdrec      |    bayesian     |     0.7      |       0.4267301752        |
|      drift      |      mcar       |      stmvl      |    bayesian     |     0.05     |       0.5670736886        |
|      drift      |      mcar       |      stmvl      |    bayesian     |     0.1      |       0.4130608992        |
|      drift      |      mcar       |      stmvl      |    bayesian     |     0.2      |       0.3995515385        |
|      drift      |      mcar       |      stmvl      |    bayesian     |     0.4      |       0.6391529437        |
|      drift      |      mcar       |      stmvl      |    bayesian     |     0.6      |       1.0042306419        |
|      drift      |      mcar       |      stmvl      |    bayesian     |     0.7      |       1.0337476280        |
|      drift      |      mcar       |       iim       |    bayesian     |     0.05     |       0.6396869350        |
|      drift      |      mcar       |       iim       |    bayesian     |     0.1      |       0.5106100844        |
|      drift      |      mcar       |       iim       |    bayesian     |     0.2      |       0.4377900960        |
|      drift      |      mcar       |       iim       |    bayesian     |     0.4      |       0.6926631202        |
|      drift      |      mcar       |       iim       |    bayesian     |     0.6      |       0.7909037918        |
|      drift      |      mcar       |       iim       |    bayesian     |     0.7      |       1.0265127365        |
|      drift      |      mcar       |      mrnn       |    bayesian     |     0.05     |       3.1784124478        |
|      drift      |      mcar       |      mrnn       |    bayesian     |     0.1      |       4.9937442868        |
|      drift      |      mcar       |      mrnn       |    bayesian     |     0.2      |       2.4981986545        |
|      drift      |      mcar       |      mrnn       |    bayesian     |     0.4      |       3.8108307561        |
|      drift      |      mcar       |      mrnn       |    bayesian     |     0.6      |       2.9743908229        |
|      drift      |      mcar       |      mrnn       |    bayesian     |     0.7      |       2.4966150771        |
|      drift      |      mcar       |    iter_svd     |    bayesian     |     0.05     |       0.9234927128        |
|      drift      |      mcar       |    iter_svd     |    bayesian     |     0.1      |       0.9699990039        |
|      drift      |      mcar       |    iter_svd     |    bayesian     |     0.2      |       0.9914069854        |
|      drift      |      mcar       |    iter_svd     |    bayesian     |     0.4      |       1.0552448338        |
|      drift      |      mcar       |    iter_svd     |    bayesian     |     0.6      |       1.0143105930        |
|      drift      |      mcar       |    iter_svd     |    bayesian     |     0.7      |       1.0126164671        |
|      drift      |      mcar       |     grouse      |    bayesian     |     0.05     |       0.5291115582        |
|      drift      |      mcar       |     grouse      |    bayesian     |     0.1      |       0.4056572080        |
|      drift      |      mcar       |     grouse      |    bayesian     |     0.2      |       0.3505704398        |
