Report for Dataset: eeg-reading
Generated on: 2025-02-05 21:52:20
Run number: 0
========================================================================================================================

RMSE: Root Mean Square Error - Measures the average magnitude of error.

+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|     Dataset     |    Algorithm    |    Optimizer    |     Pattern     |   X Value    |           RMSE            |
+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|   eegreading    |      mcar       |      mean       |    bayesian     |     0.05     |       0.8141837891        |
|   eegreading    |      mcar       |      mean       |    bayesian     |     0.1      |       0.9342602009        |
|   eegreading    |      mcar       |      mean       |    bayesian     |     0.2      |       1.0150969230        |
|   eegreading    |      mcar       |      mean       |    bayesian     |     0.4      |       1.0596057550        |
|   eegreading    |      mcar       |      mean       |    bayesian     |     0.6      |       1.0375256822        |
|   eegreading    |      mcar       |      mean       |    bayesian     |     0.7      |       1.0358065580        |
|   eegreading    |      mcar       |      cdrec      |    bayesian     |     0.05     |       0.5995777414        |
|   eegreading    |      mcar       |      cdrec      |    bayesian     |     0.1      |       0.5317944569        |
|   eegreading    |      mcar       |      cdrec      |    bayesian     |     0.2      |       0.6069871241        |
|   eegreading    |      mcar       |      cdrec      |    bayesian     |     0.4      |       0.5603531400        |
|   eegreading    |      mcar       |      cdrec      |    bayesian     |     0.6      |       0.5800885432        |
|   eegreading    |      mcar       |      cdrec      |    bayesian     |     0.7      |       0.6974561148        |
|   eegreading    |      mcar       |      stmvl      |    bayesian     |     0.05     |       0.3398657286        |
|   eegreading    |      mcar       |      stmvl      |    bayesian     |     0.1      |       0.4438604007        |
|   eegreading    |      mcar       |      stmvl      |    bayesian     |     0.2      |       0.4335933040        |
|   eegreading    |      mcar       |      stmvl      |    bayesian     |     0.4      |       0.5035828768        |
|   eegreading    |      mcar       |      stmvl      |    bayesian     |     0.6      |       0.5611479559        |
|   eegreading    |      mcar       |      stmvl      |    bayesian     |     0.7      |       0.9120134912        |
|   eegreading    |      mcar       |       iim       |    bayesian     |     0.05     |       0.7526280779        |
|   eegreading    |      mcar       |       iim       |    bayesian     |     0.1      |       0.7198176897        |
|   eegreading    |      mcar       |       iim       |    bayesian     |     0.2      |       0.6855670678        |
|   eegreading    |      mcar       |       iim       |    bayesian     |     0.4      |       0.7904932607        |
|   eegreading    |      mcar       |       iim       |    bayesian     |     0.6      |       0.7688083427        |
|   eegreading    |      mcar       |       iim       |    bayesian     |     0.7      |       0.7352291912        |
|   eegreading    |      mcar       |      mrnn       |    bayesian     |     0.05     |       1.8713711454        |
|   eegreading    |      mcar       |      mrnn       |    bayesian     |     0.1      |       1.7339201602        |
|   eegreading    |      mcar       |      mrnn       |    bayesian     |     0.2      |       1.5657194288        |
|   eegreading    |      mcar       |      mrnn       |    bayesian     |     0.4      |       1.5539038010        |
|   eegreading    |      mcar       |      mrnn       |    bayesian     |     0.6      |       1.4262461330        |
|   eegreading    |      mcar       |      mrnn       |    bayesian     |     0.7      |       1.4520269438        |
|   eegreading    |      mcar       |    iter_svd     |    bayesian     |     0.05     |       0.8141837891        |
|   eegreading    |      mcar       |    iter_svd     |    bayesian     |     0.1      |       0.9342602009        |
|   eegreading    |      mcar       |    iter_svd     |    bayesian     |     0.2      |       1.0150969230        |
|   eegreading    |      mcar       |    iter_svd     |    bayesian     |     0.4      |       1.0596057550        |
|   eegreading    |      mcar       |    iter_svd     |    bayesian     |     0.6      |       1.0375256822        |
|   eegreading    |      mcar       |    iter_svd     |    bayesian     |     0.7      |       1.0358065580        |
|   eegreading    |      mcar       |     grouse      |    bayesian     |     0.05     |       0.8869357991        |
|   eegreading    |      mcar       |     grouse      |    bayesian     |     0.1      |       0.7112980815        |
|   eegreading    |      mcar       |     grouse      |    bayesian     |     0.2      |       0.6853637292        |
|   eegreading    |      mcar       |     grouse      |    bayesian     |     0.4      |       0.7186277339        |
|   eegreading    |      mcar       |     grouse      |    bayesian     |     0.6      |       0.7378396845        |
|   eegreading    |      mcar       |     grouse      |    bayesian     |     0.7      |       0.7370542250        |
|   eegreading    |      mcar       |     dynammo     |    bayesian     |     0.05     |       0.6845624074        |
|   eegreading    |      mcar       |     dynammo     |    bayesian     |     0.1      |       0.5718426142        |
|   eegreading    |      mcar       |     dynammo     |    bayesian     |     0.2      |       0.5662683646        |
|   eegreading    |      mcar       |     dynammo     |    bayesian     |     0.4      |       0.5447254538        |
|   eegreading    |      mcar       |     dynammo     |    bayesian     |     0.6      |       0.5550610247        |
|   eegreading    |      mcar       |     dynammo     |    bayesian     |     0.7      |       0.5953941222        |
|   eegreading    |      mcar       |      rosl       |    bayesian     |     0.05     |       0.7345101291        |
|   eegreading    |      mcar       |      rosl       |    bayesian     |     0.1      |       1.2823817789        |
|   eegreading    |      mcar       |      rosl       |    bayesian     |     0.2      |       0.7124783101        |
|   eegreading    |      mcar       |      rosl       |    bayesian     |     0.4      |       0.7517939078        |
|   eegreading    |      mcar       |      rosl       |    bayesian     |     0.6      |       0.7672040383        |
|   eegreading    |      mcar       |      rosl       |    bayesian     |     0.7      |       0.8647706265        |
|   eegreading    |      mcar       |    soft_imp     |    bayesian     |     0.05     |       0.8141837891        |
|   eegreading    |      mcar       |    soft_imp     |    bayesian     |     0.1      |       0.9342602009        |
|   eegreading    |      mcar       |    soft_imp     |    bayesian     |     0.2      |       1.0150969230        |
|   eegreading    |      mcar       |    soft_imp     |    bayesian     |     0.4      |       1.0596057550        |
|   eegreading    |      mcar       |    soft_imp     |    bayesian     |     0.6      |       1.0375256822        |
|   eegreading    |      mcar       |    soft_imp     |    bayesian     |     0.7      |       1.0358065580        |
|   eegreading    |      mcar       |     spirit      |    bayesian     |     0.05     |      100.0000000000       |
|   eegreading    |      mcar       |     spirit      |    bayesian     |     0.1      |      100.0000000000       |
|   eegreading    |      mcar       |     spirit      |    bayesian     |     0.2      |      100.0000000000       |
|   eegreading    |      mcar       |     spirit      |    bayesian     |     0.4      |      100.0000000000       |
|   eegreading    |      mcar       |     spirit      |    bayesian     |     0.6      |      100.0000000000       |
|   eegreading    |      mcar       |     spirit      |    bayesian     |     0.7      |      100.0000000000       |
|   eegreading    |      mcar       |       svt       |    bayesian     |     0.05     |       0.5559265927        |
|   eegreading    |      mcar       |       svt       |    bayesian     |     0.1      |       0.4410197773        |
|   eegreading    |      mcar       |       svt       |    bayesian     |     0.2      |       0.4258594267        |
|   eegreading    |      mcar       |       svt       |    bayesian     |     0.4      |       0.4668620901        |
|   eegreading    |      mcar       |       svt       |    bayesian     |     0.6      |       0.5193818602        |
|   eegreading    |      mcar       |       svt       |    bayesian     |     0.7      |       0.5476929596        |
|   eegreading    |      mcar       |      tkcm       |    bayesian     |     0.05     |      100.0000000000       |
|   eegreading    |      mcar       |      tkcm       |    bayesian     |     0.1      |      100.0000000000       |
|   eegreading    |      mcar       |      tkcm       |    bayesian     |     0.2      |      100.0000000000       |
|   eegreading    |      mcar       |      tkcm       |    bayesian     |     0.4      |      100.0000000000       |
|   eegreading    |      mcar       |      tkcm       |    bayesian     |     0.6      |      100.0000000000       |
|   eegreading    |      mcar       |      tkcm       |    bayesian     |     0.7      |      100.0000000000       |
|   eegreading    |      mcar       |      brits      |    bayesian     |     0.05     |       0.7732756353        |
|   eegreading    |      mcar       |      brits      |    bayesian     |     0.1      |       0.9402759889        |
|   eegreading    |      mcar       |      brits      |    bayesian     |     0.2      |       0.9076281874        |
|   eegreading    |      mcar       |      brits      |    bayesian     |     0.4      |       1.0478082740        |
|   eegreading    |      mcar       |      brits      |    bayesian     |     0.6      |       1.0234821510        |
|   eegreading    |      mcar       |      brits      |    bayesian     |     0.7      |       1.0309190322        |
|   eegreading    |      mcar       |    deep_mvi     |    bayesian     |     0.05     |       0.7765520125        |
|   eegreading    |      mcar       |    deep_mvi     |    bayesian     |     0.1      |       0.7063811616        |
|   eegreading    |      mcar       |    deep_mvi     |    bayesian     |     0.2      |       0.6541862953        |
|   eegreading    |      mcar       |    deep_mvi     |    bayesian     |     0.4      |       0.7332409931        |
|   eegreading    |      mcar       |    deep_mvi     |    bayesian     |     0.6      |       0.7209450643        |
|   eegreading    |      mcar       |    deep_mvi     |    bayesian     |     0.7      |       0.7217160088        |
|   eegreading    |      mcar       |      mpin       |    bayesian     |     0.05     |       0.8039029624        |
|   eegreading    |      mcar       |      mpin       |    bayesian     |     0.1      |       0.9068560015        |
|   eegreading    |      mcar       |      mpin       |    bayesian     |     0.2      |       0.9664068772        |
|   eegreading    |      mcar       |      mpin       |    bayesian     |     0.4      |       1.0546444636        |
|   eegreading    |      mcar       |      mpin       |    bayesian     |     0.6      |       1.0389818822        |
|   eegreading    |      mcar       |      mpin       |    bayesian     |     0.7      |       1.0123837969        |
|   eegreading    |      mcar       |     pristi      |    bayesian     |     0.05     |       63.3686103237       |
|   eegreading    |      mcar       |     pristi      |    bayesian     |     0.1      |       60.0958471485       |
|   eegreading    |      mcar       |     pristi      |    bayesian     |     0.2      |       60.1032878506       |
|   eegreading    |      mcar       |     pristi      |    bayesian     |     0.4      |       61.7809628062       |
|   eegreading    |      mcar       |     pristi      |    bayesian     |     0.6      |       61.6861326568       |
|   eegreading    |      mcar       |     pristi      |    bayesian     |     0.7      |       60.7914196117       |
+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+

MAE: Mean Absolute Error - Measures the average absolute error.

+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|     Dataset     |    Algorithm    |    Optimizer    |     Pattern     |   X Value    |            MAE            |
+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|   eegreading    |      mcar       |      mean       |    bayesian     |     0.05     |       0.6757991459        |
|   eegreading    |      mcar       |      mean       |    bayesian     |     0.1      |       0.7482215615        |
|   eegreading    |      mcar       |      mean       |    bayesian     |     0.2      |       0.7949418442        |
|   eegreading    |      mcar       |      mean       |    bayesian     |     0.4      |       0.8342654361        |
|   eegreading    |      mcar       |      mean       |    bayesian     |     0.6      |       0.8234592899        |
|   eegreading    |      mcar       |      mean       |    bayesian     |     0.7      |       0.8232529919        |
|   eegreading    |      mcar       |      cdrec      |    bayesian     |     0.05     |       0.4521990114        |
|   eegreading    |      mcar       |      cdrec      |    bayesian     |     0.1      |       0.4082396108        |
|   eegreading    |      mcar       |      cdrec      |    bayesian     |     0.2      |       0.4372436711        |
