Report for Dataset: fmri-stoptask
Generated on: 2025-02-06 08:06:13
Run number: 0
========================================================================================================================

RMSE: Root Mean Square Error - Measures the average magnitude of error.

+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|     Dataset     |    Algorithm    |    Optimizer    |     Pattern     |   X Value    |           RMSE            |
+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|  fmristoptask   |      mcar       |      mean       |    bayesian     |     0.05     |       1.0591754233        |
|  fmristoptask   |      mcar       |      mean       |    bayesian     |     0.1      |       0.9651108444        |
|  fmristoptask   |      mcar       |      mean       |    bayesian     |     0.2      |       0.9932773681        |
|  fmristoptask   |      mcar       |      mean       |    bayesian     |     0.4      |       1.0058748440        |
|  fmristoptask   |      mcar       |      mean       |    bayesian     |     0.6      |       0.9944066186        |
|  fmristoptask   |      mcar       |      mean       |    bayesian     |     0.7      |       0.9987049885        |
|  fmristoptask   |      mcar       |      cdrec      |    bayesian     |     0.05     |       1.1387054432        |
|  fmristoptask   |      mcar       |      cdrec      |    bayesian     |     0.1      |       1.0215034296        |
|  fmristoptask   |      mcar       |      cdrec      |    bayesian     |     0.2      |       1.0616486319        |
|  fmristoptask   |      mcar       |      cdrec      |    bayesian     |     0.4      |       1.0901754684        |
|  fmristoptask   |      mcar       |      cdrec      |    bayesian     |     0.6      |       1.1036954319        |
|  fmristoptask   |      mcar       |      cdrec      |    bayesian     |     0.7      |       1.1427476026        |
|  fmristoptask   |      mcar       |      stmvl      |    bayesian     |     0.05     |       1.2957356383        |
|  fmristoptask   |      mcar       |      stmvl      |    bayesian     |     0.1      |       1.1340340652        |
|  fmristoptask   |      mcar       |      stmvl      |    bayesian     |     0.2      |       1.0657775590        |
|  fmristoptask   |      mcar       |      stmvl      |    bayesian     |     0.4      |       1.0430646321        |
|  fmristoptask   |      mcar       |      stmvl      |    bayesian     |     0.6      |       4.4004792434        |
|  fmristoptask   |      mcar       |      stmvl      |    bayesian     |     0.7      |       5.4700124254        |
|  fmristoptask   |      mcar       |       iim       |    bayesian     |     0.05     |       1.0692148314        |
|  fmristoptask   |      mcar       |       iim       |    bayesian     |     0.1      |       0.9719895446        |
|  fmristoptask   |      mcar       |       iim       |    bayesian     |     0.2      |       0.9975363684        |
|  fmristoptask   |      mcar       |       iim       |    bayesian     |     0.4      |       1.0155975152        |
|  fmristoptask   |      mcar       |       iim       |    bayesian     |     0.6      |       1.0040752265        |
|  fmristoptask   |      mcar       |       iim       |    bayesian     |     0.7      |       1.0085817594        |
|  fmristoptask   |      mcar       |      mrnn       |    bayesian     |     0.05     |       1.4882700609        |
|  fmristoptask   |      mcar       |      mrnn       |    bayesian     |     0.1      |       1.3358240645        |
|  fmristoptask   |      mcar       |      mrnn       |    bayesian     |     0.2      |       1.4795571105        |
|  fmristoptask   |      mcar       |      mrnn       |    bayesian     |     0.4      |       1.4354522551        |
|  fmristoptask   |      mcar       |      mrnn       |    bayesian     |     0.6      |       1.4809092511        |
|  fmristoptask   |      mcar       |      mrnn       |    bayesian     |     0.7      |       1.3943757153        |
