Report for Dataset: eeg-alcohol
Generated on: 2025-01-28 12:43:32
Run number: 0
========================================================================================================================

RMSE: Root Mean Square Error - Measures the average magnitude of error.

+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|     Dataset     |    Algorithm    |    Optimizer    |     Pattern     |   X Value    |           RMSE            |
+-----------------+-----------------+-----------------+-----------------+--------------+---------------------------+
|   eegalcohol    |      mcar       |      mean       |    bayesian     |     0.05     |       1.1073947986        |
|   eegalcohol    |      mcar       |      mean       |    bayesian     |     0.1      |       0.8569349077        |
|   eegalcohol    |      mcar       |      mean       |    bayesian     |     0.2      |       0.9609255265        |
|   eegalcohol    |      mcar       |      mean       |    bayesian     |     0.4      |       1.0184989121        |
|   eegalcohol    |      mcar       |      mean       |    bayesian     |     0.6      |       0.9997401940        |
|   eegalcohol    |      mcar       |      mean       |    bayesian     |     0.8      |       0.9895691678        |
|   eegalcohol    |      mcar       |      cdrec      |    bayesian     |     0.05     |       0.2760534634        |
|   eegalcohol    |      mcar       |      cdrec      |    bayesian     |     0.1      |       0.2323269431        |
|   eegalcohol    |      mcar       |      cdrec      |    bayesian     |     0.2      |       0.2180488582        |
|   eegalcohol    |      mcar       |      cdrec      |    bayesian     |     0.4      |       0.2848440560        |
|   eegalcohol    |      mcar       |      cdrec      |    bayesian     |     0.6      |       0.3411304383        |
|   eegalcohol    |      mcar       |      cdrec      |    bayesian     |     0.8      |       0.5679458731        |
|   eegalcohol    |      mcar       |      stmvl      |    bayesian     |     0.05     |       0.8765514234        |
|   eegalcohol    |      mcar       |      stmvl      |    bayesian     |     0.1      |       0.7644831988        |
|   eegalcohol    |      mcar       |      stmvl      |    bayesian     |     0.2      |       0.7006834698        |
|   eegalcohol    |      mcar       |      stmvl      |    bayesian     |     0.4      |       0.7190992620        |
|   eegalcohol    |      mcar       |      stmvl      |    bayesian     |     0.6      |       0.7384568889        |
|   eegalcohol    |      mcar       |      stmvl      |    bayesian     |     0.8      |       0.9787742012        |
|   eegalcohol    |      mcar       |       iim       |    bayesian     |     0.05     |       0.6612435160        |
|   eegalcohol    |      mcar       |       iim       |    bayesian     |     0.1      |       0.6502024952        |
|   eegalcohol    |      mcar       |       iim       |    bayesian     |     0.2      |       0.7627968681        |
|   eegalcohol    |      mcar       |       iim       |    bayesian     |     0.4      |       0.9322991893        |
|   eegalcohol    |      mcar       |       iim       |    bayesian     |     0.6      |       0.8406483068        |
|   eegalcohol    |      mcar       |       iim       |    bayesian     |     0.8      |       0.8573472615        |
|   eegalcohol    |      mcar       |      mrnn       |    bayesian     |     0.05     |       1.4553126588        |
|   eegalcohol    |      mcar       |      mrnn       |    bayesian     |     0.1      |       1.5512810107        |
|   eegalcohol    |      mcar       |      mrnn       |    bayesian     |     0.2      |       1.5506634759        |
|   eegalcohol    |      mcar       |      mrnn       |    bayesian     |     0.4      |       1.5271938946        |
|   eegalcohol    |      mcar       |      mrnn       |    bayesian     |     0.6      |       1.4189375752        |
|   eegalcohol    |      mcar       |      mrnn       |    bayesian     |     0.8      |       1.4357576773        |
|   eegalcohol    |      mcar       |    iter_svd     |    bayesian     |     0.05     |       1.1073947986        |
|   eegalcohol    |      mcar       |    iter_svd     |    bayesian     |     0.1      |       0.8569349077        |
|   eegalcohol    |      mcar       |    iter_svd     |    bayesian     |     0.2      |       0.9609255265        |
|   eegalcohol    |      mcar       |    iter_svd     |    bayesian     |     0.4      |       1.0184989121        |
|   eegalcohol    |      mcar       |    iter_svd     |    bayesian     |     0.6      |       0.9997401940        |
|   eegalcohol    |      mcar       |    iter_svd     |    bayesian     |     0.8      |       0.9895691678        |
|   eegalcohol    |      mcar       |     grouse      |    bayesian     |     0.05     |       0.5148496956        |
|   eegalcohol    |      mcar       |     grouse      |    bayesian     |     0.1      |       0.5514172365        |
|   eegalcohol    |      mcar       |     grouse      |    bayesian     |     0.2      |       0.5224946657        |
|   eegalcohol    |      mcar       |     grouse      |    bayesian     |     0.4      |       0.5860009663        |
|   eegalcohol    |      mcar       |     grouse      |    bayesian     |     0.6      |       0.5660313610        |
|   eegalcohol    |      mcar       |     grouse      |    bayesian     |     0.8      |       0.5961887194        |
|   eegalcohol    |      mcar       |     dynammo     |    bayesian     |     0.05     |       0.3403862067        |
|   eegalcohol    |      mcar       |     dynammo     |    bayesian     |     0.1      |       0.2666362985        |
